,filename,xtl,xbr,ytl,ybr,label
0,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,985,1072,177,255,cap
1,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1109,1184,188,260,cap
2,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,981,1064,505,587,cap
3,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,983,1068,389,468,cap
4,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1111,1194,85,163,cap
5,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,857,945,500,584,cap
6,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,987,1069,278,362,cap
7,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1101,1191,500,588,cap
8,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,987,1070,80,157,cap
9,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1099,1195,597,690,cap
10,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1093,1186,710,797,cap
11,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,977,1062,716,797,cap
12,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1097,1190,390,476,cap
13,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,858,951,387,474,cap
14,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,866,949,280,360,cap
15,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,1105,1183,292,372,cap
16,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,866,948,176,255,cap
17,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,980,1062,607,684,cap
18,Data/ObjectDetectionData/Images/mojtaba42_crp_0.jpg,867,947,84,153,cap
19,Data/ObjectDetectionData/Images/mojtaba42_crp_1.jpg,1091,1191,143,243,cap
20,Data/ObjectDetectionData/Images/mojtaba42_crp_1.jpg,1093,1186,43,131,cap
21,Data/ObjectDetectionData/Images/mojtaba42_crp_1.jpg,977,1062,50,131,cap
22,Data/ObjectDetectionData/Images/mojtaba42_crp_1.jpg,974,1069,147,240,cap
23,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,72,177,255,cap
24,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,472,552,308,375,cap
25,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,471,547,210,280,cap
26,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,472,547,97,171,cap
27,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,587,664,307,371,cap
28,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,109,185,188,260,cap
29,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,929,1003,436,506,cap
30,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,940,1008,638,698,cap
31,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,935,1005,533,597,cap
32,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,932,999,231,292,cap
33,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,927,1001,131,197,cap
34,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,228,311,84,165,cap
35,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,589,669,86,160,cap
36,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,932,1006,732,799,cap
37,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,585,660,200,272,cap
38,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,596,670,725,792,cap
39,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,822,901,632,700,cap
40,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,65,505,587,cap
41,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,68,389,468,cap
42,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,111,194,85,163,cap
43,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,70,278,362,cap
44,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,820,896,722,791,cap
45,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,216,307,611,695,cap
46,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,101,192,500,588,cap
47,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,71,80,157,cap
48,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,99,196,597,690,cap
49,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,93,187,710,797,cap
50,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,0,63,716,797,cap
51,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,98,190,390,476,cap
52,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,345,440,718,799,cap
53,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,219,313,509,592,cap
54,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,348,432,618,700,cap
55,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,352,434,500,578,cap
56,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,348,422,403,477,cap
57,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,351,425,102,167,cap
58,Data/ObjectDetectionData/Images/mojtaba42_crp_2.jpg,222,319,393,485,cap
